name,type,zone,use,poison,bloom
Albany Pitcher Plant,Carnivorous,10-11,Ornamental,No,365-730
Arrowhead,Cactus,6-10,Edible,No,60-120
Attenborough’s Pitcher Plant,Carnivorous,11-12,Ornamental,No,1460-2190
Australian Sundew,Carnivorous,9-12,Ornamental,No,365-730
Bear Paw,Succulent,10-11,Ornamental,Yes,180-365
Bladderwort,Carnivorous,4-10,Ornamental,No,30-90
Burro’s Tail,Succulent,9-11,Ornamental,No,365
Butterwort,Carnivorous,3-8,Ornamental,No,365-730
Cape Sundew,Carnivorous,9-11,Ornamental,No,365-730
Cobra Lily,Carnivorous,7-10,Ornamental,No,730-1095
Donkey Ear,Succulent,10-11,Ornamental,Yes,180-365
Elephant Bush,Succulent,9-11,Ornamental,No,180-365
Ghost Plant,Succulent,9-11,Ornamental,No,180-365
Greater Bladderwort,Carnivorous,4-10,Ornamental,No,30-90
Green Pitcher Plant,Carnivorous,6-9,Ornamental,No,730-1460
Hedgehog Cactus,Cactus,7-10,Ornamental,No,365-730
King Sundew,Carnivorous,10-11,Ornamental,No,365-730
Marionberry,Cactus,9-11,Edible,Yes,365-730
Marjoram,Cactus,10-12,Ornamental,No,60-90
Mayapple,Cactus,10-12,Ornamental,No,365-730
Meadow Rue,Cactus,9-11,Ornamental,Yes,60-120
Mexican Butterwort,Carnivorous,9-11,Ornamental,No,365-730
Mint,Cactus,9-11,Ornamental,No,60-90
Mizuna,Cactus,6-10,Edible,No,30-40
Monkey Cup,Carnivorous,11-12,Ornamental,No,730-1460
Morning Glory,Succulent,10-12,Ornamental,No,60-90
Motherwort,Succulent,8-11,Ornamental,Yes,60-90
Mulberry,Succulent,4-9,Ornamental,No,730-1095
Mullein,Succulent,9-11,Ornamental,No,60-120
Mustard Greens,Succulent,9-11,Ornamental,No,30-40
Napa Cabbage,Succulent,10-12,Ornamental,Yes,60-80
Nasturtium,Succulent,10-12,Ornamental,No,50-60
Parrot Pitcher Plant,Carnivorous,7-10,Ornamental,No,730-1460
Pitcher Plant,Carnivorous,3-8,Ornamental,No,730-1460
Portuguese Sundew,Carnivorous,9-11,Ornamental,No,365-730
Prairie Blazing Star,Cactus,9-11,Edible,Yes,365-730
Prairie Dropseed,Succulent,10-12,Ornamental,No,365-730
Prairie Smoke,Succulent,9-11,Ornamental,No,60-120
Prayer Plant,Succulent,6-10,Ornamental,No,90-120
Prickly Pear,Succulent,10-12,Ornamental,Yes,365-730
Primrose,Cactus,9-11,Ornamental,No,60-120
Pulmonaria,Cactus,8-11,Ornamental,No,60-90
Pumpkin,Cactus,9-11,Ornamental,Yes,80-120
Purple Coneflower,Cactus,9-11,Ornamental,No,365-730
Purple Pitcher Plant,Carnivorous,2-7,Ornamental,No,730-1460
Purple Prairie Clover,Cactus,10-12,Ornamental,No,60-90
Purslane,Cactus,9-11,Ornamental,No,50-60
Queen of the Night,Succulent,10-11,Ornamental,No,1825-3650
Quince,Succulent,10-12,Ornamental,Yes,730-1095
Radicchio,Succulent,3-10,Edible,No,80-100
Radish,Succulent,10-12,Ornamental,No,25-40
Rainbow Plant,Carnivorous,11-12,Ornamental,No,365-730
Raspberry,Succulent,10-12,Ornamental,Yes,365-730
Red Chokeberry,Succulent,10-12,Ornamental,Yes,730-1460
Red Maple,Succulent,9-11,Ornamental,No,1825-3650
Red Mulberry,Succulent,9-11,Ornamental,No,730-1095
Red Twig Dogwood,Succulent,9-11,Ornamental,No,730-1460
Redbud,Succulent,9-11,Ornamental,No,1460-2190
Rhododendron,Succulent,9-11,Ornamental,No,365-730
River Oats,Succulent,10-11,Ornamental,No,90-120
Roridula,Carnivorous,10-11,Ornamental,No,730-1460
Spoon-leaved Sundew,Carnivorous,9-12,Ornamental,No,365-730
Sundew,Carnivorous,3-8,Ornamental,No,365-730
Tropical Pitcher Plant,Carnivorous,11-12,Ornamental,No,730-1460
Trumpet Pitcher,Carnivorous,7-10,Ornamental,No,730-1460
Venus Flytrap,Carnivorous,6-8,Ornamental,No,1095-1460
Waterwheel Plant,Carnivorous,8-12,Ornamental,No,90-120
White-Top Pitcher Plant,Carnivorous,7-10,Ornamental,No,730-1460
Yellow Pitcher Plant,Carnivorous,6-9,Ornamental,No,730-1460
Zebra Haworthia,Succulent,9-11,Ornamental,No,180-365
