name,type,zone,use,poison,bloom
Abiu,Tree,10-11,Edible,No,730-1095
Achiote,Tree,10-11,Edible,No,90-120
Air Plant,Flower,4-9,Ornamental,No,90-120
Almond,Tree,7-9,Edible,No,1460-2190
Aloe,Flower,2-11,Ornamental,No,180-365
Aloe aristata,Tree,3-9,Timber,No,180-365
American Basswood,Tree,3-8,Timber,No,1825-3650
American Beech,Tree,4-9,Ornamental,No,1825-3650
American Groundnut,Vine,4-9,Edible,No,90-120
American Hazelnut,Flower,3-8,Ornamental,No,730-1460
American Hornbeam,Tree,3-9,Ornamental,No,1825-3650
American Sycamore,Tree,4-9,Timber,No,1825-3650
Anacharis,Flower,3-8,Ornamental,No,30-60
Anemone,Flower,4-8,Ornamental,No,60-90
Angelica,Flower,3-8,Ornamental,No,365
Anise,Tree,5-9,Ornamental,No,120
Annatto,Tree,10-12,Edible,No,90-120
Apios,Vine,4-9,Edible,No,90-120
Apple,Tree,5-9,Ornamental,No,1460-2190
Apricot,Tree,5-8,Edible,No,1095-1460
Aptenia,Vine,4-10,Edible,No,90-120
Areca Palm,Vine,3-9,Ornamental,No,1825-2920
Arizona Walnut,Tree,7-9,Edible,No,1825-3650
Arrowwood Viburnum,Tree,2-8,Ornamental,No,90-120
Asian Pear,Tree,5-9,Edible,No,730-1460
Avocado,Tree,9-11,Edible,No,730-1095
Azalea,Flower,6-11,Ornamental,No,365-730
Baby's Breath,Flower,4-9,Ornamental,No,60-90
Bachelor’s Button,Flower,2-11,Ornamental,No,60-90
Bacopa,Flower,7-10,Ornamental,No,60-90
Bael,Tree,10-11,Edible,No,1460-2190
Bald Cypress,Tree,4-10,Ornamental,No,1825-3650
Balloon Flower,Flower,3-8,Ornamental,No,90-120
Bamboo Shoots,Grass,7-11,Edible,No,30-60
Batata,Vine,8-11,Edible,No,90-120
Beaked Hazelnut,Tree,3-8,Edible,No,365-730
Bee Balm,Tree,3-8,Edible,No,70-110
Beet,Tree,4-9,Ornamental,No,55-70
Begonia,Tree,5-9,Ornamental,No,60-90
Begonia rex,Tree,5-8,Ornamental,No,60-90
Bell Pepper,Tree,4-8,Ornamental,No,60-90
Bermudagrass,Grass,7-10,Ornamental,No,60-90
Big Bluestem,Tree,5-9,Ornamental,No,365-730
Bigtooth Aspen,Tree,2-6,Timber,No,1825-3650
Bird of Paradise,Tree,3-7,Ornamental,No,1095-1825
Bird's Nest Fern,Flower,4-9,Ornamental,No,180-365
Bishop’s Cap,Flower,7-10,Ornamental,No,365-730
Black Ash,Tree,3-7,Timber,No,1825-3650
Black Cherry,Tree,3-9,Edible,No,730-1460
Black Gum,Tree,4-9,Ornamental,No,1825-3650
Black Sapote,Tree,10-11,Edible,No,730-1095
Black Spruce,Tree,2-6,Timber,No,1825-3650
Black-eyed Susan Vine,Vine,10-11,Ornamental,No,60-90
Blanket Flower,Flower,3-10,Ornamental,No,70-100
Blazing Star,Flower,3-9,Ornamental,No,365-730
Blue Fescue,Grass,4-8,Ornamental,No,365-730
Blue Grama,Grass,3-10,Ornamental,No,365-730
Boniato,Vine,8-11,Edible,No,90-120
Boxelder,Tree,2-9,Timber,No,1825-3650
Brazil Nut,Tree,11-12,Edible,No,2190-2920
Breadfruit,Tree,10-11,Edible,No,1095-1460
Breadnut,Tree,10-11,Edible,No,1095-1460
Buffalograss,Grass,3-9,Ornamental,No,365-730
Bunya Bunya,Tree,10-11,Edible,No,4380-10950
Bur Oak,Tree,3-8,Timber,No,1825-3650
Butterfly Weed,Tree,6-9,Edible,No,365
Butternut,Tree,4-8,Edible,No,1825-3650
Buttonbush,Tree,4-8,Edible,No,730
Cabomba,Tree,2-8,Ornamental,No,60-90
Cacao,Tree,10-11,Edible,No,1095-1460
Caladium,Tree,6-9,Ornamental,No,70-90
Canada Anemone,Tree,7-10,Ornamental,No,60-90
Canada Wild Rye,Tree,6-9,Ornamental,No,90-120
Candytuft,Tree,4-9,Ornamental,No,50-70
Canistel,Tree,10-11,Edible,No,730-1095
Canna,Tree,3-9,Ornamental,No,90-120
Carpathian Walnut,Tree,6-9,Edible,No,1825-3650
Cassava,Tree,10-12,Edible,No,210-270
Catalpa,Tree,4-8,Ornamental,No,1825-3650
Cherimoya,Tree,10-11,Edible,No,730-1095
Chestnut,Tree,4-8,Edible,No,1460-2190
