name,type,zone,use,poison,bloom
Acorn Squash,Vegetable,3-11,Edible,No,45-60
Aechmea,Vegetable,3-10,Edible,No,365-730
Aeonium arboreum,Fruit,3-8,Edible,No,180-365
African Violet,Fruit,3-8,Edible,No,150-180
Agave,Herb,4-10,Edible,No,3650-14600
Air Potato,Vegetable,9-12,Edible,No,180-210
Ajwain,Herb,8-11,Edible,No,90-120
Alligator Pepper,Herb,10-11,Edible,No,1095-1460
Allspice,Herb,10-12,Edible,No,1095-1460
Alocasia,Herb,5-9,Edible,No,180-365
Aloe Vera,Vegetable,4-11,Edible,No,180-365
Amaranth,Vegetable,2-11,Edible,No,60-90
American Beautyberry,Vegetable,3-9,Edible,No,365
American Elm,Vegetable,5-11,Edible,No,1825-3650
American Groundnut,Vine,4-9,Edible,No,90-120
Anise Hyssop,Herb,4-9,Edible,No,60-90
Apios,Vine,4-9,Edible,No,90-120
Aptenia,Vine,4-10,Edible,No,90-120
Arracacha,Herb,9-11,Edible,No,180-210
Arrowhead Vine,Vegetable,2-9,Edible,No,120
Arrowroot,Vegetable,9-11,Edible,No,180-270
Artichoke,Vegetable,3-10,Edible,No,150-180
Arugula,Fruit,4-9,Edible,No,40-60
Asparagus,Fruit,5-9,Edible,No,730-1095
Asparagus Pea,Vegetable,6-11,Edible,No,60-70
Aster,Herb,8-10,Edible,No,60-120
Astilbe,Herb,3-11,Edible,No,90-120
Bamboo Shoot,Vegetable,8-11,Edible,No,60-90
Barrel Cactus,Fruit,5-9,Edible,No,1825-3650
Basil,Herb,8-10,Edible,No,60-90
Basil (Holy),Herb,10-11,Edible,No,60-90
Batata,Vine,8-11,Edible,No,90-120
Bay Laurel,Vegetable,2-10,Edible,No,365-730
Belgian Endive,Vegetable,4-7,Edible,No,85-100
Black Bean,Vegetable,6-10,Edible,No,90-100
Black Chokeberry,Vegetable,3-10,Edible,No,730-1460
Black Locust,Vegetable,3-9,Edible,No,1825-3650
Black Mustard,Herb,6-11,Edible,No,365-730
Black Pepper,Vegetable,11-12,Edible,No,1095-1460
Black Salsify,Herb,6-9,Edible,No,120-150
Black-eyed Susan,Vegetable,2-9,Edible,No,70-90
Blackberry,Vegetable,2-11,Edible,No,365-730
Blackcurrant,Vegetable,3-8,Edible,No,365-730
Bleeding Heart,Vegetable,3-9,Edible,No,60-90
Bloodroot,Vegetable,3-10,Edible,No,365
Blue False Indigo,Vegetable,6-11,Edible,No,1460
Blue Flag Iris,Vegetable,2-10,Edible,No,365
Blue-eyed Grass,Vegetable,2-10,Edible,No,60-90
Blueberry,Vegetable,3-9,Edible,No,730-1095
Boneset,Vegetable,3-8,Edible,No,365-730
Boniato,Vine,8-11,Edible,No,90-120
Borage,Vegetable,5-11,Edible,No,50-70
Boston Fern,Vegetable,5-12,Edible,No,180-270
Boston Ivy,Vegetable,5-11,Edible,No,730
Bottle Palm,Vegetable,7-11,Edible,No,1460-1825
Bottlebrush Grass,Vegetable,3-8,Edible,No,730
Bougainvillea,Fruit,4-8,Edible,No,90-120
Boxwood,Fruit,5-8,Edible,No,1460
Boysenberry,Fruit,4-9,Edible,No,365-730
Broad Bean,Vegetable,3-11,Edible,No,80-100
Broccoli,Fruit,4-9,Edible,No,65-70
Brodiaea,Herb,6-10,Edible,No,90-120
Bromeliad,Fruit,7-10,Edible,No,90-120
Brown Mustard,Herb,6-11,Edible,No,365-730
Brunnera,Fruit,3-8,Edible,No,90-120
Brussels Sprouts,Fruit,3-8,Edible,No,90-100
Bun Long Taro,Herb,8-11,Edible,No,180-210
Butterfly Bush,Fruit,5-9,Edible,No,60-120
Camassia,Herb,4-9,Edible,No,90-120
Cantaloupe,Vegetable,4-9,Edible,No,70-100
Caraway,Herb,4-10,Edible,No,70-90
Cardamom,Herb,10-12,Edible,No,1095-1460
Cardinal Flower,Vegetable,3-11,Edible,No,365-730
Cardoon,Vegetable,3-9,Edible,No,120-150
Carnation,Vegetable,4-9,Edible,No,120-150
Carrot,Vegetable,4-9,Edible,No,60-80
Cast Iron Plant,Vegetable,4-8,Edible,No,730-1095
Catnip,Vegetable,4-10,Edible,No,60-90
Cattail,Vegetable,3-9,Edible,No,60-120
Cauliflower,Vegetable,3-10,Edible,No,60-100
Cayenne Pepper,Herb,8-10,Edible,No,60-120
Cedar,Vegetable,4-11,Edible,No,1825-3650
Celandine Poppy,Vegetable,4-11,Edible,No,60-90
Celeriac,Vegetable,4-11,Edible,No,90-120
Celery,Vegetable,6-11,Edible,No,85-120
Celery Seed,Herb,5-9,Edible,No,90-120
Celtuce,Vegetable,4-9,Edible,No,70-90
Cereus,Vegetable,3-9,Edible,No,730-3650
Chamomile,Vegetable,3-9,Edible,No,60
Chamomile (German),Herb,2-9,Edible,No,60
Chard,Vegetable,3-9,Edible,No,50-60
Chayote,Vegetable,3-9,Edible,No,120-150
Cherry,Vegetable,3-9,Edible,No,1095-1825
Chervil,Herb,3-8,Edible,No,40-60
Chickpea,Vegetable,4-10,Edible,No,90-100
Chicory,Vegetable,4-10,Edible,No,60-85
Chicory (Witloof),Vegetable,3-10,Edible,No,80-100
Chili Pepper,Herb,8-10,Edible,No,60-120
Chinese Artichoke,Herb,5-9,Edible,No,60-90
Chinese Broccoli,Vegetable,2-11,Edible,No,50-60
Chinese Cabbage,Vegetable,3-9,Edible,No,60-80
Chinese Evergreen,Vegetable,3-9,Edible,No,730-1095
Chinese Fan Palm,Vegetable,3-9,Edible,No,730-1460
Chinese Mustard,Vegetable,2-11,Edible,No,45-60
Chinese Yam,Vegetable,6-11,Edible,No,180-210
Chives,Vegetable,3-10,Edible,No,60-90
Cholla,Vegetable,3-10,Edible,No,365-730
Christmas Cactus,Vegetable,3-10,Edible,No,90-180
Chufa (Tiger Nut),Vegetable,8-11,Edible,No,120-150
Cilantro (Coriander),Herb,2-11,Edible,No,45-70
Coriander,Herb,3-11,Edible,No,60-90
Costmary,Herb,5-9,Edible,No,60-90
Cress,Herb,4-9,Edible,No,30-60
Crosne,Vegetable,5-9,Edible,No,60-90
Cuban Oregano,Herb,10-11,Edible,No,60-90
Cubeb Pepper,Vegetable,10-12,Edible,No,1095-1460
Culantro,Herb,10-11,Edible,No,60-90
Cumin,Herb,8-11,Edible,No,100-120
Earthnut Pea,Vine,4-8,Edible,No,90-120
Edamame,Vegetable,3-9,Edible,No,70-120
Edible Canna,Herb,7-11,Edible,No,180-240
Elephant Foot Yam,Herb,10-12,Edible,No,180-240
Elephant Garlic,Herb,5-10,Edible,No,180-210
Epazote,Herb,6-11,Edible,No,60-90
Evening Primrose,Fruit,7-10,Edible,No,60-120
Fairy Castle Cactus,Fruit,7-10,Edible,No,365-730
False Indigo,Fruit,8-10,Edible,No,1460
False Solomon’s Seal,Herb,3-9,Edible,No,365-730
Fava Bean,Fruit,7-9,Edible,No,75-90
Fennel,Fruit,9-11,Edible,No,90-115
Fenugreek,Herb,8-11,Edible,No,60-90
Feverfew,Fruit,4-8,Edible,No,60-90
Fiddle Leaf Fig,Fruit,3-8,Edible,No,730-1095
Fig,Fruit,2-7,Edible,No,365-730
Fingerroot,Herb,9-11,Edible,No,180-240
Fishhook Barrel Cactus,Fruit,6-10,Edible,No,1825-3650
Florence Fennel,Vegetable,6-10,Edible,No,90-115
Forget-me-not,Fruit,6-10,Edible,No,60-90
Forsythia,Fruit,6-10,Edible,No,365-730
Four O'Clock,Fruit,5-9,Edible,No,60-90
Foxglove,Fruit,4-8,Edible,No,365-730
Fritillaria,Vegetable,3-9,Edible,No,90-120
Gaillardia,Vegetable,3-9,Edible,No,70-100
Galangal,Herb,9-11,Edible,No,365-730
Garden Cress,Vegetable,2-11,Edible,No,20-30
Garlic,Vegetable,9-11,Edible,No,90-120
Gasteria,Vegetable,4-9,Edible,No,180-365
Geranium,Vegetable,4-9,Edible,No,60-90
Ginger,Herb,8-11,Edible,No,365-730
Gloxinia,Vegetable,7-10,Edible,No,60-90
Goat’s Beard,Vegetable,4-10,Edible,No,60-90
Gobo (Burdock Root),Vegetable,4-9,Edible,No,90-120
Goji Berry,Vegetable,3-9,Edible,No,365-730
Golden Alexander,Vegetable,4-10,Edible,No,60-90
Golden Beet,Herb,2-10,Edible,No,55-70
Goldenrod,Vegetable,3-9,Edible,No,60-90
Gooseberry,Vegetable,3-10,Edible,No,365-730
Grains of Paradise,Herb,10-11,Edible,No,1095-1460
Grape,Fruit,10-11,Edible,No,730-1095
Graptopetalum paraguayense,Vegetable,4-8,Edible,No,180-365
Great Blue Lobelia,Vegetable,4-8,Edible,No,365-730
Green Bean,Vegetable,8-11,Edible,No,50-60
Ground Cherry,Vegetable,10-11,Edible,No,70-80
Groundnut,Herb,6-11,Edible,No,90-120
Habañero,Herb,10-11,Edible,No,60-120
Hamburg Parsley,Herb,4-9,Edible,No,90-120
Hardy Kiwi,Fruit,4-8,Edible,No,1095-1460
Haworthia,Vegetable,4-8,Edible,No,180-365
Heartleaf Philodendron,Vegetable,4-8,Edible,No,180-365
Hellebore,Vegetable,4-9,Edible,No,365-730
Hens and Chicks,Vegetable,4-9,Edible,No,90-180
Hibiscus,Vegetable,4-9,Edible,No,90-120
Hickory,Vegetable,3-9,Edible,No,1825-3650
Holly,Herb,8-10,Edible,No,1825-3650
Honey Locust,Herb,3-9,Edible,No,1825-3650
Honeydew,Herb,3-9,Edible,No,80-100
Horehound,Herb,3-11,Edible,No,60-90
Hornwort,Herb,4-9,Edible,No,21-30
Horse Chestnut,Herb,5-9,Edible,No,1825-3650
Horseradish,Herb,4-8,Edible,No,365-730
Hosta,Herb,4-8,Edible,No,180-365
Huckleberry,Herb,7-9,Edible,No,730-1095
Hydrangea,Herb,5-9,Edible,No,365-730
Hyssop,Herb,4-9,Edible,No,70-90
Ice Plant,Herb,4-8,Edible,No,60-90
Impatiens,Herb,4-9,Edible,No,60-90
Indian Grass,Herb,3-9,Edible,No,365-730
Indian Potato,Vegetable,4-9,Edible,No,120-180
Inkberry,Herb,4-8,Edible,No,365-730
Iris,Herb,6-9,Edible,No,90-120
