Plant_Name,Scientific_Name,Plant_Type,Life_Cycle,Soil_Type,Sunlight_Needs,Water_Needs,Use,Poisonous,Preferred_Zone,Soil_PH,Size,Spacing
Abiu,Pouteria caimito,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,5.5-6.5,20-40 ft,15-20 ft
Achiote,Bixa orellana,Tree,Perennial,Loam,Full Sun,Medium,Edible,No,10-11,6.0-7.5,10-20 ft,6-10 ft
Aconite,Aconitum napellus,Flower,Perennial,Loam,Partial Shade,Medium,Ornamental,Yes,3-8,6.0-7.0,2-4 ft,12-18 in
Acorn Squash,Cucurbita pepo var. turbinata,Vegetable,Annual,Loam,Full Sun,Medium,Edible,No,3-11,6.0-6.8,4-6 ft,18-24 in
Aechmea,Aechmea spp.,Vegetable,Biennial,Sandy,Full Sun,Medium,Edible,No,3-10,6.0-6.8,6-12 in,2-4 in
Aeonium arboreum,Aeonium arboreum,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,3-8,4.5-5.5,4-6 ft,3-4 ft
African Milk Tree,Euphorbia trigona,Tree,Perennial,Sandy,Full Sun,Low,Ornamental,Yes,10-11,6.0-7.5,3-6 ft,2-3 ft
African Violet,Saintpaulia ionantha,Fruit,Perennial,Loam,Full Sun,Medium,Edible,No,3-8,6.0-7.0,15-25 ft,15-20 ft
Agave,Agave spp.,Herb,Annual,Loam,Full Sun,Medium,Edible,No,4-10,6.0-7.5,12-18 in,10-12 in
Air Plant,Tillandsia spp.,Flower,Perennial,Loam,Full Sun,Medium,Ornamental,No,4-9,6.0-7.0,2-6 ft,2-4 ft
Air Potato,Dioscorea bulbifera,Vegetable,Perennial,Loam,Full Sun,Medium,Edible,No,9-12,5.5-7.5,10-15 ft,12-18 in
Ajwain,Trachyspermum ammi,Herb,Annual,Loam,Full Sun,Medium,Edible,No,8-11,6.0-7.5,1-2 ft,6-12 in
Alahee,Psydrax odorata,Tree,Perennial,Sandy,Full Sun,Low,Ornamental,N/A,11-12,6.5-7.5,8-20 ft,8-12 ft
Albany Pitcher Plant,Cephalotus follicularis,Carnivorous,Perennial,Peat,Full Sun,High,Ornamental,No,10-11,5.0-6.0,4-8 in,4-8 in
Alligator Pepper,Aframomum danielli,Herb,Perennial,Loam,Partial Shade,High,Edible,No,10-11,6.0-7.0,3-6 ft,2-3 ft
